country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
Barbados,BRB,2021-02-26,33633.0,33633.0,,4350.0,2746.0,11.7,11.7,,9556.0,Oxford/AstraZeneca,Ministry of Health,https://www.facebook.com/moh.barbados/photos/a.768944336470972/4022321141133259/
Barbados,BRB,2021-02-27,36749.0,36749.0,,3116.0,2987.0,12.79,12.79,,10394.0,Oxford/AstraZeneca,Ministry of Health,https://www.facebook.com/moh.barbados/photos/a.768944336470972/4022321141133259/
Barbados,BRB,2021-02-28,38615.0,38615.0,,1866.0,3153.0,13.44,13.44,,10972.0,Oxford/AstraZeneca,Ministry of Health,https://www.facebook.com/moh.barbados/photos/a.768944336470972/4022321141133259/
Barbados,BRB,2021-03-01,41125.0,41125.0,,2510.0,3148.0,14.31,14.31,,10954.0,Oxford/AstraZeneca,Ministry of Health,https://www.facebook.com/moh.barbados/photos/a.768944336470972/4022321141133259/
Barbados,BRB,2021-03-02,43235.0,43235.0,,2110.0,3028.0,15.05,15.05,,10537.0,Oxford/AstraZeneca,Ministry of Health,https://www.facebook.com/moh.barbados/photos/a.768944336470972/4022321141133259/
Barbados,BRB,2021-03-03,44859.0,44859.0,,1624.0,2754.0,15.61,15.61,,9583.0,Oxford/AstraZeneca,Ministry of Health,https://www.facebook.com/moh.barbados/photos/a.768944336470972/4022321141133259/
Barbados,BRB,2021-03-04,46442.0,46442.0,,1583.0,2451.0,16.16,16.16,,8529.0,Oxford/AstraZeneca,Ministry of Health,https://www.facebook.com/moh.barbados/photos/a.768944336470972/4022321141133259/
Barbados,BRB,2021-03-05,48480.0,48480.0,,2038.0,2121.0,16.87,16.87,,7381.0,Oxford/AstraZeneca,Ministry of Health,https://www.facebook.com/moh.barbados/photos/a.768944336470972/4022321141133259/
Barbados,BRB,2021-03-06,48886.0,48886.0,,406.0,1734.0,17.01,17.01,,6034.0,Oxford/AstraZeneca,Ministry of Health,https://www.facebook.com/moh.barbados/photos/a.768944336470972/4022321141133259/
Barbados,BRB,2021-03-07,49317.0,49317.0,,431.0,1529.0,17.16,17.16,,5321.0,Oxford/AstraZeneca,Ministry of Health,https://www.facebook.com/moh.barbados/photos/a.768944336470972/4022321141133259/
Barbados,BRB,2021-03-08,49393.0,49393.0,,76.0,1181.0,17.19,17.19,,4110.0,Oxford/AstraZeneca,Ministry of Health,https://www.facebook.com/moh.barbados/photos/a.768944336470972/4022321141133259/
Barbados,BRB,2021-03-09,49757.0,49757.0,,364.0,932.0,17.31,17.31,,3243.0,Oxford/AstraZeneca,Ministry of Health,https://www.facebook.com/moh.barbados/photos/a.768944336470972/4022321141133259/
Barbados,BRB,2021-03-10,50263.0,50263.0,,506.0,772.0,17.49,17.49,,2686.0,Oxford/AstraZeneca,Ministry of Health,https://www.facebook.com/moh.barbados/photos/a.768944336470972/4022321141133259/
Barbados,BRB,2021-03-11,50703.0,50703.0,,440.0,609.0,17.64,17.64,,2119.0,Oxford/AstraZeneca,Ministry of Health,https://www.facebook.com/moh.barbados/photos/a.768944336470972/4022321141133259/
Barbados,BRB,2021-03-12,50980.0,50980.0,,277.0,357.0,17.74,17.74,,1242.0,Oxford/AstraZeneca,Ministry of Health,https://www.facebook.com/moh.barbados/photos/a.768944336470972/4022321141133259/
Barbados,BRB,2021-03-13,51595.0,51595.0,,615.0,387.0,17.95,17.95,,1347.0,Oxford/AstraZeneca,Ministry of Health,https://www.facebook.com/moh.barbados/photos/a.768944336470972/4022321141133259/
Barbados,BRB,2021-03-14,52290.0,52290.0,,695.0,425.0,18.2,18.2,,1479.0,Oxford/AstraZeneca,Ministry of Health,https://www.facebook.com/moh.barbados/photos/a.768944336470972/4022321141133259/
Belarus,BLR,2020-12-28,0.0,0.0,,,,0.0,0.0,,,Sputnik V,Ministry of Health,https://tkm.by/2021/02/immunizaciya-medrabotnikov-v-belarusi-pervym-komponentom-vakciny-sputnik-v-zavershilas/
Belarus,BLR,2020-12-29,,,,,403.0,,,,43.0,Sputnik V,Ministry of Health,https://tkm.by/2021/02/immunizaciya-medrabotnikov-v-belarusi-pervym-komponentom-vakciny-sputnik-v-zavershilas/
Belarus,BLR,2020-12-30,,,,,403.0,,,,43.0,Sputnik V,Ministry of Health,https://tkm.by/2021/02/immunizaciya-medrabotnikov-v-belarusi-pervym-komponentom-vakciny-sputnik-v-zavershilas/
Belarus,BLR,2020-12-31,,,,,403.0,,,,43.0,Sputnik V,Ministry of Health,https://tkm.by/2021/02/immunizaciya-medrabotnikov-v-belarusi-pervym-komponentom-vakciny-sputnik-v-zavershilas/
Belarus,BLR,2021-01-01,,,,,403.0,,,,43.0,Sputnik V,Ministry of Health,https://tkm.by/2021/02/immunizaciya-medrabotnikov-v-belarusi-pervym-komponentom-vakciny-sputnik-v-zavershilas/
Belarus,BLR,2021-01-02,,,,,403.0,,,,43.0,Sputnik V,Ministry of Health,https://tkm.by/2021/02/immunizaciya-medrabotnikov-v-belarusi-pervym-komponentom-vakciny-sputnik-v-zavershilas/
Belarus,BLR,2021-01-03,,,,,403.0,,,,43.0,Sputnik V,Ministry of Health,https://tkm.by/2021/02/immunizaciya-medrabotnikov-v-belarusi-pervym-komponentom-vakciny-sputnik-v-zavershilas/
Belarus,BLR,2021-01-04,,,,,403.0,,,,43.0,Sputnik V,Ministry of Health,https://tkm.by/2021/02/immunizaciya-medrabotnikov-v-belarusi-pervym-komponentom-vakciny-sputnik-v-zavershilas/
Belarus,BLR,2021-01-05,,,,,403.0,,,,43.0,Sputnik V,Ministry of Health,https://tkm.by/2021/02/immunizaciya-medrabotnikov-v-belarusi-pervym-komponentom-vakciny-sputnik-v-zavershilas/
Belarus,BLR,2021-01-06,,,,,403.0,,,,43.0,Sputnik V,Ministry of Health,https://tkm.by/2021/02/immunizaciya-medrabotnikov-v-belarusi-pervym-komponentom-vakciny-sputnik-v-zavershilas/
Belarus,BLR,2021-01-07,,,,,403.0,,,,43.0,Sputnik V,Ministry of Health,https://tkm.by/2021/02/immunizaciya-medrabotnikov-v-belarusi-pervym-komponentom-vakciny-sputnik-v-zavershilas/
Belarus,BLR,2021-01-08,,,,,403.0,,,,43.0,Sputnik V,Ministry of Health,https://tkm.by/2021/02/immunizaciya-medrabotnikov-v-belarusi-pervym-komponentom-vakciny-sputnik-v-zavershilas/
Belarus,BLR,2021-01-09,,,,,403.0,,,,43.0,Sputnik V,Ministry of Health,https://tkm.by/2021/02/immunizaciya-medrabotnikov-v-belarusi-pervym-komponentom-vakciny-sputnik-v-zavershilas/
Belarus,BLR,2021-01-10,,,,,403.0,,,,43.0,Sputnik V,Ministry of Health,https://tkm.by/2021/02/immunizaciya-medrabotnikov-v-belarusi-pervym-komponentom-vakciny-sputnik-v-zavershilas/
Belarus,BLR,2021-01-11,,,,,403.0,,,,43.0,Sputnik V,Ministry of Health,https://tkm.by/2021/02/immunizaciya-medrabotnikov-v-belarusi-pervym-komponentom-vakciny-sputnik-v-zavershilas/
Belarus,BLR,2021-01-12,,,,,403.0,,,,43.0,Sputnik V,Ministry of Health,https://tkm.by/2021/02/immunizaciya-medrabotnikov-v-belarusi-pervym-komponentom-vakciny-sputnik-v-zavershilas/
Belarus,BLR,2021-01-13,,,,,403.0,,,,43.0,Sputnik V,Ministry of Health,https://tkm.by/2021/02/immunizaciya-medrabotnikov-v-belarusi-pervym-komponentom-vakciny-sputnik-v-zavershilas/
Belarus,BLR,2021-01-14,,,,,403.0,,,,43.0,Sputnik V,Ministry of Health,https://tkm.by/2021/02/immunizaciya-medrabotnikov-v-belarusi-pervym-komponentom-vakciny-sputnik-v-zavershilas/
Belarus,BLR,2021-01-15,,,,,403.0,,,,43.0,Sputnik V,Ministry of Health,https://tkm.by/2021/02/immunizaciya-medrabotnikov-v-belarusi-pervym-komponentom-vakciny-sputnik-v-zavershilas/
Belarus,BLR,2021-01-16,,,,,403.0,,,,43.0,Sputnik V,Ministry of Health,https://tkm.by/2021/02/immunizaciya-medrabotnikov-v-belarusi-pervym-komponentom-vakciny-sputnik-v-zavershilas/
Belarus,BLR,2021-01-17,,,,,403.0,,,,43.0,Sputnik V,Ministry of Health,https://tkm.by/2021/02/immunizaciya-medrabotnikov-v-belarusi-pervym-komponentom-vakciny-sputnik-v-zavershilas/
Belarus,BLR,2021-01-18,,,,,403.0,,,,43.0,Sputnik V,Ministry of Health,https://tkm.by/2021/02/immunizaciya-medrabotnikov-v-belarusi-pervym-komponentom-vakciny-sputnik-v-zavershilas/
Belarus,BLR,2021-01-19,,,,,403.0,,,,43.0,Sputnik V,Ministry of Health,https://tkm.by/2021/02/immunizaciya-medrabotnikov-v-belarusi-pervym-komponentom-vakciny-sputnik-v-zavershilas/
Belarus,BLR,2021-01-20,,,,,403.0,,,,43.0,Sputnik V,Ministry of Health,https://tkm.by/2021/02/immunizaciya-medrabotnikov-v-belarusi-pervym-komponentom-vakciny-sputnik-v-zavershilas/
Belarus,BLR,2021-01-21,,,,,403.0,,,,43.0,Sputnik V,Ministry of Health,https://tkm.by/2021/02/immunizaciya-medrabotnikov-v-belarusi-pervym-komponentom-vakciny-sputnik-v-zavershilas/
Belarus,BLR,2021-01-22,,,,,403.0,,,,43.0,Sputnik V,Ministry of Health,https://tkm.by/2021/02/immunizaciya-medrabotnikov-v-belarusi-pervym-komponentom-vakciny-sputnik-v-zavershilas/
Belarus,BLR,2021-01-23,,,,,403.0,,,,43.0,Sputnik V,Ministry of Health,https://tkm.by/2021/02/immunizaciya-medrabotnikov-v-belarusi-pervym-komponentom-vakciny-sputnik-v-zavershilas/
Belarus,BLR,2021-01-24,,,,,403.0,,,,43.0,Sputnik V,Ministry of Health,https://tkm.by/2021/02/immunizaciya-medrabotnikov-v-belarusi-pervym-komponentom-vakciny-sputnik-v-zavershilas/
Belarus,BLR,2021-01-25,,,,,403.0,,,,43.0,Sputnik V,Ministry of Health,https://tkm.by/2021/02/immunizaciya-medrabotnikov-v-belarusi-pervym-komponentom-vakciny-sputnik-v-zavershilas/
Belarus,BLR,2021-01-26,,,,,403.0,,,,43.0,Sputnik V,Ministry of Health,https://tkm.by/2021/02/immunizaciya-medrabotnikov-v-belarusi-pervym-komponentom-vakciny-sputnik-v-zavershilas/
Belarus,BLR,2021-01-27,,,,,403.0,,,,43.0,Sputnik V,Ministry of Health,https://tkm.by/2021/02/immunizaciya-medrabotnikov-v-belarusi-pervym-komponentom-vakciny-sputnik-v-zavershilas/
Belarus,BLR,2021-01-28,,,,,403.0,,,,43.0,Sputnik V,Ministry of Health,https://tkm.by/2021/02/immunizaciya-medrabotnikov-v-belarusi-pervym-komponentom-vakciny-sputnik-v-zavershilas/
Belarus,BLR,2021-01-29,,,,,403.0,,,,43.0,Sputnik V,Ministry of Health,https://tkm.by/2021/02/immunizaciya-medrabotnikov-v-belarusi-pervym-komponentom-vakciny-sputnik-v-zavershilas/
Belarus,BLR,2021-01-30,,,,,403.0,,,,43.0,Sputnik V,Ministry of Health,https://tkm.by/2021/02/immunizaciya-medrabotnikov-v-belarusi-pervym-komponentom-vakciny-sputnik-v-zavershilas/
Belarus,BLR,2021-01-31,,,,,403.0,,,,43.0,Sputnik V,Ministry of Health,https://tkm.by/2021/02/immunizaciya-medrabotnikov-v-belarusi-pervym-komponentom-vakciny-sputnik-v-zavershilas/
Belarus,BLR,2021-02-01,,,,,403.0,,,,43.0,Sputnik V,Ministry of Health,https://tkm.by/2021/02/immunizaciya-medrabotnikov-v-belarusi-pervym-komponentom-vakciny-sputnik-v-zavershilas/
Belarus,BLR,2021-02-02,,,,,403.0,,,,43.0,Sputnik V,Ministry of Health,https://tkm.by/2021/02/immunizaciya-medrabotnikov-v-belarusi-pervym-komponentom-vakciny-sputnik-v-zavershilas/
Belarus,BLR,2021-02-03,,,,,403.0,,,,43.0,Sputnik V,Ministry of Health,https://tkm.by/2021/02/immunizaciya-medrabotnikov-v-belarusi-pervym-komponentom-vakciny-sputnik-v-zavershilas/
Belarus,BLR,2021-02-04,,,,,403.0,,,,43.0,Sputnik V,Ministry of Health,https://tkm.by/2021/02/immunizaciya-medrabotnikov-v-belarusi-pervym-komponentom-vakciny-sputnik-v-zavershilas/
Belarus,BLR,2021-02-05,,,,,403.0,,,,43.0,Sputnik V,Ministry of Health,https://tkm.by/2021/02/immunizaciya-medrabotnikov-v-belarusi-pervym-komponentom-vakciny-sputnik-v-zavershilas/
Belarus,BLR,2021-02-06,,,,,403.0,,,,43.0,Sputnik V,Ministry of Health,https://tkm.by/2021/02/immunizaciya-medrabotnikov-v-belarusi-pervym-komponentom-vakciny-sputnik-v-zavershilas/
Belarus,BLR,2021-02-07,,,,,403.0,,,,43.0,Sputnik V,Ministry of Health,https://tkm.by/2021/02/immunizaciya-medrabotnikov-v-belarusi-pervym-komponentom-vakciny-sputnik-v-zavershilas/
Belarus,BLR,2021-02-08,,,,,403.0,,,,43.0,Sputnik V,Ministry of Health,https://tkm.by/2021/02/immunizaciya-medrabotnikov-v-belarusi-pervym-komponentom-vakciny-sputnik-v-zavershilas/
Belarus,BLR,2021-02-09,,,,,403.0,,,,43.0,Sputnik V,Ministry of Health,https://tkm.by/2021/02/immunizaciya-medrabotnikov-v-belarusi-pervym-komponentom-vakciny-sputnik-v-zavershilas/
Belarus,BLR,2021-02-10,,,,,403.0,,,,43.0,Sputnik V,Ministry of Health,https://tkm.by/2021/02/immunizaciya-medrabotnikov-v-belarusi-pervym-komponentom-vakciny-sputnik-v-zavershilas/
Belarus,BLR,2021-02-11,,,,,403.0,,,,43.0,Sputnik V,Ministry of Health,https://tkm.by/2021/02/immunizaciya-medrabotnikov-v-belarusi-pervym-komponentom-vakciny-sputnik-v-zavershilas/
Belarus,BLR,2021-02-12,,,,,403.0,,,,43.0,Sputnik V,Ministry of Health,https://tkm.by/2021/02/immunizaciya-medrabotnikov-v-belarusi-pervym-komponentom-vakciny-sputnik-v-zavershilas/
Belarus,BLR,2021-02-13,,,,,403.0,,,,43.0,Sputnik V,Ministry of Health,https://tkm.by/2021/02/immunizaciya-medrabotnikov-v-belarusi-pervym-komponentom-vakciny-sputnik-v-zavershilas/
Belarus,BLR,2021-02-14,,,,,403.0,,,,43.0,Sputnik V,Ministry of Health,https://tkm.by/2021/02/immunizaciya-medrabotnikov-v-belarusi-pervym-komponentom-vakciny-sputnik-v-zavershilas/
Belarus,BLR,2021-02-15,,,,,403.0,,,,43.0,Sputnik V,Ministry of Health,https://tkm.by/2021/02/immunizaciya-medrabotnikov-v-belarusi-pervym-komponentom-vakciny-sputnik-v-zavershilas/
Belarus,BLR,2021-02-16,,,,,403.0,,,,43.0,Sputnik V,Ministry of Health,https://tkm.by/2021/02/immunizaciya-medrabotnikov-v-belarusi-pervym-komponentom-vakciny-sputnik-v-zavershilas/
Belarus,BLR,2021-02-17,,,,,403.0,,,,43.0,Sputnik V,Ministry of Health,https://tkm.by/2021/02/immunizaciya-medrabotnikov-v-belarusi-pervym-komponentom-vakciny-sputnik-v-zavershilas/
Belarus,BLR,2021-02-18,20944.0,20944.0,,,403.0,0.22,0.22,,43.0,Sputnik V,Ministry of Health,https://tkm.by/2021/02/immunizaciya-medrabotnikov-v-belarusi-pervym-komponentom-vakciny-sputnik-v-zavershilas/
Belgium,BEL,2020-12-28,298.0,298.0,,,,0.0,0.0,,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Sciensano,https://epistat.wiv-isp.be/covid/
Belgium,BEL,2020-12-29,299.0,299.0,,1.0,1.0,0.0,0.0,,0.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Sciensano,https://epistat.wiv-isp.be/covid/
Belgium,BEL,2020-12-30,777.0,777.0,,478.0,240.0,0.01,0.01,,21.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Sciensano,https://epistat.wiv-isp.be/covid/
Belgium,BEL,2020-12-31,786.0,786.0,,9.0,163.0,0.01,0.01,,14.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Sciensano,https://epistat.wiv-isp.be/covid/
Belgium,BEL,2021-01-01,794.0,794.0,,8.0,124.0,0.01,0.01,,11.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Sciensano,https://epistat.wiv-isp.be/covid/
Belgium,BEL,2021-01-02,,,,,99.0,,,,9.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Sciensano,https://epistat.wiv-isp.be/covid/
Belgium,BEL,2021-01-03,,,,,83.0,,,,7.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Sciensano,https://epistat.wiv-isp.be/covid/
Belgium,BEL,2021-01-04,797.0,797.0,,,71.0,0.01,0.01,,6.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Sciensano,https://epistat.wiv-isp.be/covid/
Belgium,BEL,2021-01-05,2386.0,2386.0,,1589.0,298.0,0.02,0.02,,26.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Sciensano,https://epistat.wiv-isp.be/covid/
Belgium,BEL,2021-01-06,6261.0,6261.0,,3875.0,783.0,0.05,0.05,,68.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Sciensano,https://epistat.wiv-isp.be/covid/
Belgium,BEL,2021-01-07,14412.0,14412.0,,8151.0,1947.0,0.12,0.12,,168.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Sciensano,https://epistat.wiv-isp.be/covid/
Belgium,BEL,2021-01-08,23632.0,23632.0,,9220.0,3263.0,0.2,0.2,,282.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Sciensano,https://epistat.wiv-isp.be/covid/
Belgium,BEL,2021-01-09,26835.0,26835.0,,3203.0,3720.0,0.23,0.23,,321.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Sciensano,https://epistat.wiv-isp.be/covid/
Belgium,BEL,2021-01-10,27233.0,27233.0,,398.0,3777.0,0.23,0.23,,326.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Sciensano,https://epistat.wiv-isp.be/covid/
Belgium,BEL,2021-01-11,32809.0,32809.0,,5576.0,4573.0,0.28,0.28,,395.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Sciensano,https://epistat.wiv-isp.be/covid/
Belgium,BEL,2021-01-12,48385.0,48385.0,,15576.0,6571.0,0.42,0.42,,567.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Sciensano,https://epistat.wiv-isp.be/covid/
Belgium,BEL,2021-01-13,69640.0,69640.0,,21255.0,9054.0,0.6,0.6,,781.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Sciensano,https://epistat.wiv-isp.be/covid/
Belgium,BEL,2021-01-14,92733.0,92733.0,,23093.0,11189.0,0.8,0.8,,965.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Sciensano,https://epistat.wiv-isp.be/covid/
Belgium,BEL,2021-01-15,115872.0,115872.0,,23139.0,13177.0,1.0,1.0,,1137.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Sciensano,https://epistat.wiv-isp.be/covid/
Belgium,BEL,2021-01-16,121025.0,121025.0,,5153.0,13456.0,1.04,1.04,,1161.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Sciensano,https://epistat.wiv-isp.be/covid/
Belgium,BEL,2021-01-17,124310.0,124310.0,,3285.0,13868.0,1.07,1.07,,1197.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Sciensano,https://epistat.wiv-isp.be/covid/
Belgium,BEL,2021-01-18,135295.0,135186.0,109.0,10985.0,14641.0,1.17,1.17,0.0,1263.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Sciensano,https://epistat.wiv-isp.be/covid/
Belgium,BEL,2021-01-19,154520.0,154230.0,290.0,19225.0,15162.0,1.33,1.33,0.0,1308.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Sciensano,https://epistat.wiv-isp.be/covid/
Belgium,BEL,2021-01-20,175591.0,174878.0,713.0,21071.0,15136.0,1.52,1.51,0.01,1306.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Sciensano,https://epistat.wiv-isp.be/covid/
Belgium,BEL,2021-01-21,205574.0,204861.0,713.0,29983.0,16120.0,1.77,1.77,0.01,1391.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Sciensano,https://epistat.wiv-isp.be/covid/
Belgium,BEL,2021-01-22,234955.0,234210.0,745.0,29381.0,17012.0,2.03,2.02,0.01,1468.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Sciensano,https://epistat.wiv-isp.be/covid/
Belgium,BEL,2021-01-23,243159.0,242407.0,752.0,8204.0,17448.0,2.1,2.09,0.01,1505.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Sciensano,https://epistat.wiv-isp.be/covid/
Belgium,BEL,2021-01-24,245035.0,244283.0,752.0,1876.0,17246.0,2.11,2.11,0.01,1488.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Sciensano,https://epistat.wiv-isp.be/covid/
Belgium,BEL,2021-01-25,256299.0,255547.0,752.0,11264.0,17286.0,2.21,2.2,0.01,1492.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Sciensano,https://epistat.wiv-isp.be/covid/
Belgium,BEL,2021-01-26,268820.0,266479.0,2341.0,12521.0,16329.0,2.32,2.3,0.02,1409.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Sciensano,https://epistat.wiv-isp.be/covid/
Belgium,BEL,2021-01-27,285258.0,279515.0,5743.0,16438.0,15667.0,2.46,2.41,0.05,1352.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Sciensano,https://epistat.wiv-isp.be/covid/
Belgium,BEL,2021-01-28,308170.0,295042.0,13128.0,22912.0,14657.0,2.66,2.55,0.11,1265.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Sciensano,https://epistat.wiv-isp.be/covid/
Belgium,BEL,2021-01-29,328928.0,307030.0,21898.0,20758.0,13425.0,2.84,2.65,0.19,1158.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Sciensano,https://epistat.wiv-isp.be/covid/
Belgium,BEL,2021-01-30,333384.0,308614.0,24770.0,4456.0,12889.0,2.88,2.66,0.21,1112.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Sciensano,https://epistat.wiv-isp.be/covid/
Belgium,BEL,2021-01-31,334285.0,309187.0,25098.0,901.0,12750.0,2.88,2.67,0.22,1100.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Sciensano,https://epistat.wiv-isp.be/covid/
Belgium,BEL,2021-02-01,341952.0,313103.0,28849.0,7667.0,12236.0,2.95,2.7,0.25,1056.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Sciensano,https://epistat.wiv-isp.be/covid/
Belgium,BEL,2021-02-02,365740.0,323257.0,42483.0,23788.0,13846.0,3.16,2.79,0.37,1195.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Sciensano,https://epistat.wiv-isp.be/covid/
Belgium,BEL,2021-02-03,396054.0,333343.0,62711.0,30314.0,15828.0,3.42,2.88,0.54,1366.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Sciensano,https://epistat.wiv-isp.be/covid/
Belgium,BEL,2021-02-04,429522.0,343201.0,86321.0,33468.0,17336.0,3.71,2.96,0.74,1496.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Sciensano,https://epistat.wiv-isp.be/covid/
Belgium,BEL,2021-02-05,459722.0,351064.0,108658.0,30200.0,18685.0,3.97,3.03,0.94,1612.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Sciensano,https://epistat.wiv-isp.be/covid/
Belgium,BEL,2021-02-06,466169.0,352302.0,113867.0,6447.0,18969.0,4.02,3.04,0.98,1637.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Sciensano,https://epistat.wiv-isp.be/covid/
Belgium,BEL,2021-02-07,469289.0,352604.0,116685.0,3120.0,19286.0,4.05,3.04,1.01,1664.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Sciensano,https://epistat.wiv-isp.be/covid/
Belgium,BEL,2021-02-08,479325.0,354914.0,124411.0,10036.0,19625.0,4.14,3.06,1.07,1693.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Sciensano,https://epistat.wiv-isp.be/covid/
Belgium,BEL,2021-02-09,506486.0,362935.0,143551.0,27161.0,20107.0,4.37,3.13,1.24,1735.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Sciensano,https://epistat.wiv-isp.be/covid/
Belgium,BEL,2021-02-10,531736.0,369592.0,162144.0,25250.0,19383.0,4.59,3.19,1.4,1672.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Sciensano,https://epistat.wiv-isp.be/covid/
Belgium,BEL,2021-02-11,567675.0,377670.0,190005.0,35939.0,19736.0,4.9,3.26,1.64,1703.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Sciensano,https://epistat.wiv-isp.be/covid/
Belgium,BEL,2021-02-12,601651.0,384262.0,217389.0,33976.0,20276.0,5.19,3.32,1.88,1749.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Sciensano,https://epistat.wiv-isp.be/covid/
Belgium,BEL,2021-02-13,610190.0,384861.0,225329.0,8539.0,20574.0,5.26,3.32,1.94,1775.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Sciensano,https://epistat.wiv-isp.be/covid/
Belgium,BEL,2021-02-14,612107.0,384934.0,227173.0,1917.0,20403.0,5.28,3.32,1.96,1760.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Sciensano,https://epistat.wiv-isp.be/covid/
Belgium,BEL,2021-02-15,625568.0,386983.0,238585.0,13461.0,20892.0,5.4,3.34,2.06,1803.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Sciensano,https://epistat.wiv-isp.be/covid/
Belgium,BEL,2021-02-16,639900.0,390983.0,248917.0,14332.0,19059.0,5.52,3.37,2.15,1644.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Sciensano,https://epistat.wiv-isp.be/covid/
Belgium,BEL,2021-02-17,659449.0,398024.0,261425.0,19549.0,18245.0,5.69,3.43,2.26,1574.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Sciensano,https://epistat.wiv-isp.be/covid/
Belgium,BEL,2021-02-18,686444.0,408878.0,277566.0,26995.0,16967.0,5.92,3.53,2.39,1464.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Sciensano,https://epistat.wiv-isp.be/covid/
Belgium,BEL,2021-02-19,716802.0,426543.0,290259.0,30358.0,16450.0,6.18,3.68,2.5,1419.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Sciensano,https://epistat.wiv-isp.be/covid/
Belgium,BEL,2021-02-20,722599.0,430769.0,291830.0,5797.0,16058.0,6.23,3.72,2.52,1386.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Sciensano,https://epistat.wiv-isp.be/covid/
Belgium,BEL,2021-02-21,724745.0,432654.0,292091.0,2146.0,16091.0,6.25,3.73,2.52,1388.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Sciensano,https://epistat.wiv-isp.be/covid/
Belgium,BEL,2021-02-22,737216.0,442335.0,294881.0,12471.0,15950.0,6.36,3.82,2.54,1376.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Sciensano,https://epistat.wiv-isp.be/covid/
